SpeciesName,Area,Group,Longitude,Latitude,Height,Frequency,FreqPerQuart,TreesPerHA,RelativeDensity,MeanBA,TotalBAPerHA,RelativeCover,RelativeFrequency,RelativeImportance
Osbornia octodonta,Seaward,brittsar(kf),152.988093479012,-25.4473070987654,NA,0,0,0,0,0,0,0,0,0
Osbournia octodonta,Seaward,brittsar(kf),152.988093479012,-25.4473070987654,NA,0,0,0,0,0,0,0,0,0
Osbournia,Seaward,brittsar(kf),152.988093479012,-25.4473070987654,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Seaward,pcq mangroves team alpha cr,152.988202412,-25.4471018672,2.14698795180723,83,0.83,2311.31779923559,83,13.8638554216867,3.20437758021735,2.71227597830037,2.06185567010309,87.7741316484035
Lumnitzera racemosa,Seaward,pcq mangroves team alpha cr,152.988202412,-25.4471018672,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Seaward,pcq mangroves team alpha cr,152.988202412,-25.4471018672,2.45,16,0.16,445.555238406862,16,36.9875,1.64799743805738,1.39491172673865,2.06185567010309,19.4567673968417
Aegialitis annulata,Seaward,pcq mangroves team alpha cr,152.988202412,-25.4471018672,NA,0,0,0,0,0,0,0,0,0
Aegiceras corniculatum,Seaward,pcq mangroves team alpha cr,152.988202412,-25.4471018672,NA,0,0,0,0,0,0,0,0,0
Ceriops australis,Seaward,pcq mangroves team alpha cr,152.988202412,-25.4471018672,NA,0,0,0,0,0,0,0,0,0
Other?,Seaward,pcq mangroves team alpha cr,152.988202412,-25.4471018672,NA,0,0,0,0,0,0,0,0,0
Osbornia octodonta,Seaward,pcq mangroves team alpha cr,152.988202412,-25.4471018672,0.5,1,0.01,27.8472024004288,1,10,0.0278472024004288,0.0235706611480001,0.687285223367697,1.7108558845157
Osbournia octodonta,Seaward,pcq mangroves team alpha cr,152.988202412,-25.4471018672,NA,0,0,0,0,0,0,0,0,0
Osbournia,Seaward,pcq mangroves team alpha cr,152.988202412,-25.4471018672,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Seaward,yellow ghkaac,152.987903822951,-25.4476256559016,2.46666666666667,27,0.442622950819672,897.046608842472,44.2622950819672,12.4074074074074,1.11300227393418,0.942076661009658,2.06185567010309,47.26622741308
Lumnitzera racemosa,Seaward,yellow ghkaac,152.987903822951,-25.4476256559016,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Seaward,yellow ghkaac,152.987903822951,-25.4476256559016,2.46,30,0.491803278688525,996.718454269414,49.1803278688525,17.5333333333333,1.74757968981904,1.47920096624203,2.06185567010309,52.7213845051976
Aegialitis annulata,Seaward,yellow ghkaac,152.987903822951,-25.4476256559016,NA,0,0,0,0,0,0,0,0,0
Aegiceras corniculatum,Seaward,yellow ghkaac,152.987903822951,-25.4476256559016,NA,0,0,0,0,0,0,0,0,0
Ceriops australis,Seaward,yellow ghkaac,152.987903822951,-25.4476256559016,2.9,1,0.0163934426229508,33.2239484756471,1.63934426229508,13.5,0.0448523304421236,0.0379642833541205,0.687285223367697,2.3645937690169
Other?,Seaward,yellow ghkaac,152.987903822951,-25.4476256559016,NA,0,0,0,0,0,0,0,0,0
Osbornia octodonta,Seaward,yellow ghkaac,152.987903822951,-25.4476256559016,NA,0,0,0,0,0,0,0,0,0
Osbournia octodonta,Seaward,yellow ghkaac,152.987903822951,-25.4476256559016,0.933333333333333,3,0.0491803278688525,99.6718454269414,4.91803278688525,19.3333333333333,0.192698901158753,0.163105809965851,0.687285223367697,5.7684238202188
Osbournia,Seaward,yellow ghkaac,152.987903822951,-25.4476256559016,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Seaward,green hulk,152.987860016667,-25.447805,1.82666666666667,15,0.625,530.210198887737,62.5,10.6333333333333,0.563790178150627,0.477207981493839,2.06185567010309,65.0390636515969
Lumnitzera racemosa,Seaward,green hulk,152.987860016667,-25.447805,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Seaward,green hulk,152.987860016667,-25.447805,2.62222222222222,9,0.375,318.126119332642,37.5,20.7777777777778,0.660995381280045,0.559485219682433,2.06185567010309,40.1213408897855
Aegialitis annulata,Seaward,green hulk,152.987860016667,-25.447805,NA,0,0,0,0,0,0,0,0,0
Aegiceras corniculatum,Seaward,green hulk,152.987860016667,-25.447805,NA,0,0,0,0,0,0,0,0,0
Ceriops australis,Seaward,green hulk,152.987860016667,-25.447805,NA,0,0,0,0,0,0,0,0,0
Other?,Seaward,green hulk,152.987860016667,-25.447805,NA,0,0,0,0,0,0,0,0,0
Osbornia octodonta,Seaward,green hulk,152.987860016667,-25.447805,NA,0,0,0,0,0,0,0,0,0
Osbournia octodonta,Seaward,green hulk,152.987860016667,-25.447805,NA,0,0,0,0,0,0,0,0,0
Osbournia,Seaward,green hulk,152.987860016667,-25.447805,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Seaward,Mad green,152.987761993333,-25.4479366666667,1.08235294117647,51,0.85,5270.01054002108,85,9.41176470588235,4.96000992001984,4.19829293565613,2.06185567010309,91.2601486057592
Lumnitzera racemosa,Seaward,Mad green,152.987761993333,-25.4479366666667,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Seaward,Mad green,152.987761993333,-25.4479366666667,2.5,8,0.133333333333333,826.668320003307,13.3333333333333,25.625,2.11833757000847,1.79302094126981,2.06185567010309,17.1882099447062
Aegialitis annulata,Seaward,Mad green,152.987761993333,-25.4479366666667,0.3,1,0.0166666666666667,103.333540000413,1.66666666666667,6,0.062000124000248,0.0524786616957016,1.03092783505155,2.75007316341391
Aegiceras corniculatum,Seaward,Mad green,152.987761993333,-25.4479366666667,NA,0,0,0,0,0,0,0,0,0
Ceriops australis,Seaward,Mad green,152.987761993333,-25.4479366666667,NA,0,0,0,0,0,0,0,0,0
Other?,Seaward,Mad green,152.987761993333,-25.4479366666667,NA,0,0,0,0,0,0,0,0,0
Osbornia octodonta,Seaward,Mad green,152.987761993333,-25.4479366666667,NA,0,0,0,0,0,0,0,0,0
Osbournia octodonta,Seaward,Mad green,152.987761993333,-25.4479366666667,NA,0,0,0,0,0,0,0,0,0
Osbournia,Seaward,Mad green,152.987761993333,-25.4479366666667,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Landward,mangroovy,152.988231133333,-25.44753389,0.933333333333333,3,0.25,635.548336981852,25,7,0.444883835887296,0.376562284251594,2.06185567010309,27.4384179543547
Lumnitzera racemosa,Landward,mangroovy,152.988231133333,-25.44753389,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Landward,mangroovy,152.988231133333,-25.44753389,1.5,6,0.5,1271.0966739637,50,17,2.1608643457383,1.82901680922203,2.06185567010309,53.8908724793251
Aegialitis annulata,Landward,mangroovy,152.988231133333,-25.44753389,0.266666666666667,3,0.25,635.548336981852,25,6.66666666666667,0.423698891321234,0.35863074690628,2.06185567010309,27.4204864170094
Aegiceras corniculatum,Landward,mangroovy,152.988231133333,-25.44753389,NA,0,0,0,0,0,0,0,0,0
Ceriops australis,Landward,mangroovy,152.988231133333,-25.44753389,NA,0,0,0,0,0,0,0,0,0
Other?,Landward,mangroovy,152.988231133333,-25.44753389,NA,0,0,0,0,0,0,0,0,0
Osbornia octodonta,Landward,mangroovy,152.988231133333,-25.44753389,NA,0,0,0,0,0,0,0,0,0
Osbournia octodonta,Landward,mangroovy,152.988231133333,-25.44753389,NA,0,0,0,0,0,0,0,0,0
Osbournia,Landward,mangroovy,152.988231133333,-25.44753389,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Landward,pcq1 (kf),152.989601970874,-25.4480250967961,54.1,10,0.0970873786407767,0.102691693862103,9.70873786407767,11.3,0.000116041614064176,9.82209101238684e-05,1.37457044673539,11.0834065317232
Lumnitzera racemosa,Landward,pcq1 (kf),152.989601970874,-25.4480250967961,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Landward,pcq1 (kf),152.989601970874,-25.4480250967961,58.5769230769231,26,0.252427184466019,0.266998404041467,25.2427184466019,9.42307692307692,0.000251594649962151,0.000212956840534051,1.37457044673539,26.6175018501779
Aegialitis annulata,Landward,pcq1 (kf),152.989601970874,-25.4480250967961,123.5,2,0.0194174757281553,0.0205383387724205,1.94174757281553,19.5,4.004976060622e-05,3.38992521666449e-05,1.37457044673539,3.3163519188031
Aegiceras corniculatum,Landward,pcq1 (kf),152.989601970874,-25.4480250967961,71.9183673469388,49,0.475728155339806,0.503189299924302,47.5728155339806,10,0.000503189299924302,0.000425913681068102,2.06185567010309,49.6350971177647
Ceriops australis,Landward,pcq1 (kf),152.989601970874,-25.4480250967961,140,1,0.00970873786407767,0.0102691693862102,0.970873786407767,12,1.23230032634523e-05,1.04305391281984e-05,0.687285223367697,1.65816944031459
Other?,Landward,pcq1 (kf),152.989601970874,-25.4480250967961,53.4666666666667,15,0.145631067961165,0.154037540793154,14.5631067961165,8.73333333333333,0.000134526118959354,0.000113866718816166,2.06185567010309,16.6250763329384
Osbornia octodonta,Landward,pcq1 (kf),152.989601970874,-25.4480250967961,NA,0,0,0,0,0,0,0,0,0
Osbournia octodonta,Landward,pcq1 (kf),152.989601970874,-25.4480250967961,NA,0,0,0,0,0,0,0,0,0
Osbournia,Landward,pcq1 (kf),152.989601970874,-25.4480250967961,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Landward,pcq2[c;s;t]a,152.98952326,-25.448166466,NA,0,0,0,0,0,0,0,0,0
Lumnitzera racemosa,Landward,pcq2[c;s;t]a,152.98952326,-25.448166466,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Landward,pcq2[c;s;t]a,152.98952326,-25.448166466,0.486666666666667,30,0.3,2018.89551610035,30,7.37666666666667,1.48927192571003,1.26056195568141,2.06185567010309,33.3224176257845
Aegialitis annulata,Landward,pcq2[c;s;t]a,152.98952326,-25.448166466,0.416666666666667,6,0.06,403.779103220071,6,6.5,0.262456417093046,0.222150547996272,1.37457044673539,7.59672099473167
Aegiceras corniculatum,Landward,pcq2[c;s;t]a,152.98952326,-25.448166466,0.416666666666667,6,0.06,403.779103220071,6,6.16666666666667,0.248997113652377,0.210758212201592,1.37457044673539,7.58532865893699
Ceriops australis,Landward,pcq2[c;s;t]a,152.98952326,-25.448166466,0.719354838709677,31,0.31,2086.1920333037,31,8.3741935483871,1.74701758659884,1.47872518614955,2.06185567010309,34.5405808562526
Other?,Landward,pcq2[c;s;t]a,152.98952326,-25.448166466,NA,0,0,0,0,0,0,0,0,0
Osbornia octodonta,Landward,pcq2[c;s;t]a,152.98952326,-25.448166466,0.62962962962963,27,0.27,1817.00596449032,27,5.12962962962963,0.932056763266331,0.788919253781634,2.06185567010309,29.8507749238847
Osbournia octodonta,Landward,pcq2[c;s;t]a,152.98952326,-25.448166466,NA,0,0,0,0,0,0,0,0,0
Osbournia,Landward,pcq2[c;s;t]a,152.98952326,-25.448166466,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Landward,TEAM EXPERIENCE,152.989427565385,-25.4482218596154,NA,0,0,0,0,0,0,0,0,0
Lumnitzera racemosa,Landward,TEAM EXPERIENCE,152.989427565385,-25.4482218596154,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Landward,TEAM EXPERIENCE,152.989427565385,-25.4482218596154,0.5,26,0.25,2339.85938345051,25,6.84615384615385,1.60190373174689,1.35589670767579,2.06185567010309,28.4177523777789
Aegialitis annulata,Landward,TEAM EXPERIENCE,152.989427565385,-25.4482218596154,NA,0,0,0,0,0,0,0,0,0
Aegiceras corniculatum,Landward,TEAM EXPERIENCE,152.989427565385,-25.4482218596154,NA,0,0,0,0,0,0,0,0,0
Ceriops australis,Landward,TEAM EXPERIENCE,152.989427565385,-25.4482218596154,0.873076923076923,52,0.5,4679.71876690103,50,7.94230769230769,3.71677663601947,3.1459850576972,2.06185567010309,55.2078407278003
Other?,Landward,TEAM EXPERIENCE,152.989427565385,-25.4482218596154,NA,0,0,0,0,0,0,0,0,0
Osbornia octodonta,Landward,TEAM EXPERIENCE,152.989427565385,-25.4482218596154,1.17307692307692,26,0.25,2339.85938345051,25,6,1.40391563007031,1.18831396852485,2.06185567010309,28.2501696386279
Osbournia octodonta,Landward,TEAM EXPERIENCE,152.989427565385,-25.4482218596154,NA,0,0,0,0,0,0,0,0,0
Osbournia,Landward,TEAM EXPERIENCE,152.989427565385,-25.4482218596154,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Landward,allies group,152.9895066,-25.4481357332,NA,0,0,0,0,0,0,0,0,0
Lumnitzera racemosa,Landward,allies group,152.9895066,-25.4481357332,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Landward,allies group,152.9895066,-25.4481357332,0.551724137931034,29,0.29,4542.59940069016,29,8.51724137931035,3.86904155851886,3.2748664024496,2.06185567010309,34.3367220725527
Aegialitis annulata,Landward,allies group,152.9895066,-25.4481357332,0.314285714285714,7,0.07,1096.48951051142,7,6.28571428571429,0.689221978035749,0.583377010962683,1.37457044673539,8.95794745769808
Aegiceras corniculatum,Landward,allies group,152.9895066,-25.4481357332,NA,0,0,0,0,0,0,0,0,0
Ceriops australis,Landward,allies group,152.9895066,-25.4481357332,0.7,43,0.43,6735.578421713,43,7.79302325581395,5.2490519281768,4.44294628121807,2.06185567010309,49.5048019513212
Other?,Landward,allies group,152.9895066,-25.4481357332,NA,0,0,0,0,0,0,0,0,0
Osbornia octodonta,Landward,allies group,152.9895066,-25.4481357332,0.485714285714286,21,0.21,3289.46853153425,21,5.66666666666667,1.86403216786941,1.57776964328544,2.06185567010309,24.6396253133885
Osbournia octodonta,Landward,allies group,152.9895066,-25.4481357332,NA,0,0,0,0,0,0,0,0,0
Osbournia,Landward,allies group,152.9895066,-25.4481357332,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Landward,blue,152.989588608333,-25.4479327791667,1.1,1,0.0208333333333333,217.108080563743,2.08333333333333,10,0.217108080563743,0.183766431035883,0.687285223367697,2.95438498773691
Lumnitzera racemosa,Landward,blue,152.989588608333,-25.4479327791667,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Landward,blue,152.989588608333,-25.4479327791667,0.69,10,0.208333333333333,2171.08080563743,20.8333333333333,9.75,2.11680378549649,1.79172270259986,0.687285223367697,23.3123412593009
Aegialitis annulata,Landward,blue,152.989588608333,-25.4479327791667,0.633333333333333,6,0.125,1302.64848338246,12.5,12.3333333333333,1.6065997961717,1.35987158966554,0.687285223367697,14.5471568130332
Aegiceras corniculatum,Landward,blue,152.989588608333,-25.4479327791667,0.6,1,0.0208333333333333,217.108080563743,2.08333333333333,6,0.130264848338246,0.11025985862153,0.687285223367697,2.88087841532256
Ceriops australis,Landward,blue,152.989588608333,-25.4479327791667,0.708823529411765,17,0.354166666666667,3690.83736958363,35.4166666666667,6.97058823529412,2.57273075468035,2.17763220777522,2.06185567010309,39.656154544545
Other?,Landward,blue,152.989588608333,-25.4479327791667,NA,0,0,0,0,0,0,0,0,0
Osbornia octodonta,Landward,blue,152.989588608333,-25.4479327791667,NA,0,0,0,0,0,0,0,0,0
Osbournia octodonta,Landward,blue,152.989588608333,-25.4479327791667,NA,0,0,0,0,0,0,0,0,0
Osbournia,Landward,blue,152.989588608333,-25.4479327791667,0.526153846153846,13,0.270833333333333,2822.40504732866,27.0833333333333,4.82307692307692,1.36126766513467,1.15221552259499,2.06185567010309,30.2974045260314
Rhizophora stylosa,Landward,blue smurfs,152.9896014,-25.4479757676923,NA,0,0,0,0,0,0,0,0,0
Lumnitzera racemosa,Landward,blue smurfs,152.9896014,-25.4479757676923,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Landward,blue smurfs,152.9896014,-25.4479757676923,0.566666666666667,15,0.288461538461538,3938.89660396415,28.8461538461538,9.06666666666667,3.57126625426083,3.02282094761423,2.06185567010309,33.9308304638712
Aegialitis annulata,Landward,blue smurfs,152.9896014,-25.4479757676923,0.4,3,0.0576923076923077,787.779320792829,5.76923076923077,6.66666666666667,0.525186213861886,0.44453249229621,0.687285223367697,6.90104848489468
Aegiceras corniculatum,Landward,blue smurfs,152.9896014,-25.4479757676923,NA,0,0,0,0,0,0,0,0,0
Ceriops australis,Landward,blue smurfs,152.9896014,-25.4479757676923,0.730769230769231,26,0.5,6827.42078020452,50,8.30769230769231,5.67201110970837,4.80095091679907,2.06185567010309,56.8628065869022
Other?,Landward,blue smurfs,152.9896014,-25.4479757676923,NA,0,0,0,0,0,0,0,0,0
Osbornia octodonta,Landward,blue smurfs,152.9896014,-25.4479757676923,0.4875,8,0.153846153846154,2100.74485544754,15.3846153846154,4.125,0.866557252872112,0.733478612288747,1.37457044673539,17.4926644436395
Osbournia octodonta,Landward,blue smurfs,152.9896014,-25.4479757676923,NA,0,0,0,0,0,0,0,0,0
Osbournia,Landward,blue smurfs,152.9896014,-25.4479757676923,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Landward,go gld,152.989670008333,-25.4479174991667,NA,0,0,0,0,0,0,0,0,0
Lumnitzera racemosa,Landward,go gld,152.989670008333,-25.4479174991667,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Landward,go gld,152.989670008333,-25.4479174991667,0.7,7,0.145833333333333,3429.65631985628,14.5833333333333,11.1714285714286,3.8314160601823,3.24301911455824,1.37457044673539,19.200922894627
Aegialitis annulata,Landward,go gld,152.989670008333,-25.4479174991667,0.281818181818182,11,0.229166666666667,5389.45993120273,22.9166666666667,8.45454545454546,4.55654339638049,3.85678743802962,0.687285223367697,27.460739328064
Aegiceras corniculatum,Landward,go gld,152.989670008333,-25.4479174991667,0.6,1,0.0208333333333333,489.950902836612,2.08333333333333,14,0.685931263971256,0.580591657337792,0.687285223367697,3.35121021403882
Ceriops australis,Landward,go gld,152.989670008333,-25.4479174991667,2.58421052631579,19,0.395833333333333,9309.06715389562,39.5833333333333,8.07894736842105,7.52074635854199,6.36577281438221,1.37457044673539,47.3236765944509
Other?,Landward,go gld,152.989670008333,-25.4479174991667,0.53,10,0.208333333333333,4899.50902836612,20.8333333333333,8,3.91960722269289,3.31766661335881,2.06185567010309,26.2128556167952
Osbornia octodonta,Landward,go gld,152.989670008333,-25.4479174991667,NA,0,0,0,0,0,0,0,0,0
Osbournia octodonta,Landward,go gld,152.989670008333,-25.4479174991667,NA,0,0,0,0,0,0,0,0,0
Osbournia,Landward,go gld,152.989670008333,-25.4479174991667,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Landward,leroy,NA,NA,1.7,2,0.0357142857142857,439.1726301343,3.57142857142857,18.5,0.812469365748456,0.687697092074589,0.687285223367697,4.94641088687086
Lumnitzera racemosa,Landward,leroy,NA,NA,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Landward,leroy,NA,NA,0.9,12,0.214285714285714,2635.0357808058,21.4285714285714,13.5833333333333,3.57925693559455,3.02958448670697,1.37457044673539,25.8327263620138
Aegialitis annulata,Landward,leroy,NA,NA,1.13333333333333,3,0.0535714285714286,658.758945201451,5.35714285714286,13.6666666666667,0.900303891775316,0.762042723650221,1.37457044673539,7.49375602752847
Aegiceras corniculatum,Landward,leroy,NA,NA,NA,0,0,0,0,0,0,0,0,0
Ceriops australis,Landward,leroy,NA,NA,0.840540540540541,37,0.660714285714286,8124.69365748456,66.0714285714286,11.7,9.50589157925693,8.04605597727269,2.06185567010309,76.1793402188044
Other?,Landward,leroy,NA,NA,0.85,2,0.0357142857142857,439.1726301343,3.57142857142857,8.75,0.384276051367513,0.325262138143387,0.687285223367697,4.58397593293966
Osbornia octodonta,Landward,leroy,NA,NA,NA,0,0,0,0,0,0,0,0,0
Osbournia octodonta,Landward,leroy,NA,NA,NA,0,0,0,0,0,0,0,0,0
Osbournia,Landward,leroy,NA,NA,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Landward,merryn christelle,152.989480590196,-25.448128595098,NA,0,0,0,0,0,0,0,0,0
Lumnitzera racemosa,Landward,merryn christelle,152.989480590196,-25.448128595098,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Landward,merryn christelle,152.989480590196,-25.448128595098,0.5,8,0.156862745098039,2060.34591591971,15.6862745098039,8.625,1.77704835248075,1.50414407729843,1.37457044673539,18.5649890338377
Aegialitis annulata,Landward,merryn christelle,152.989480590196,-25.448128595098,0.45,2,0.0392156862745098,515.086478979927,3.92156862745098,7,0.360560535285949,0.305188653364898,0.687285223367697,4.91404250418358
Aegiceras corniculatum,Landward,merryn christelle,152.989480590196,-25.448128595098,0.4,1,0.0196078431372549,257.543239489963,1.96078431372549,13,0.334806211336952,0.283389463838834,0.687285223367697,2.93145900093202
Ceriops australis,Landward,merryn christelle,152.989480590196,-25.448128595098,0.5,29,0.568627450980392,7468.75394520894,56.8627450980392,8.60344827586207,6.42570382527459,5.43889778675301,2.06185567010309,64.3634985548953
Other?,Landward,merryn christelle,152.989480590196,-25.448128595098,NA,0,0,0,0,0,0,0,0,0
Osbornia octodonta,Landward,merryn christelle,152.989480590196,-25.448128595098,0.918181818181818,11,0.215686274509804,2832.9756343896,21.5686274509804,3.53636363636364,1.00184320161596,0.847988472563896,2.06185567010309,24.4784715936474
Osbournia octodonta,Landward,merryn christelle,152.989480590196,-25.448128595098,NA,0,0,0,0,0,0,0,0,0
Osbournia,Landward,merryn christelle,152.989480590196,-25.448128595098,NA,0,0,0,0,0,0,0,0,0
