"Date","Time","Longitude","Latitude","Group","Quadrat size","Vegetation type","Quadrat #","Tallest tree","Foliage cover","Ground cover","Litter depth","Small trees","Shrub size","Acacia Dominant","Angophora Dominant","Araucaria Dominant","Banksia Dominant","Callitris Dominant","Casuarina Dominant","Eucalyptus Dominant","Lophostemon Dominant","Melaleuca Dominant","Syncarpia Dominant","Acacia DBH>10cm","Angophora DBH>10cm","Araucaria DBH>10cm","Banksia DBH>10cm","Callitris DBH>10cm","Casuarina DBH>10cm","Eucalyptus DBH>10cm","Lophostemon DBH>10cm","Melaleuca DBH>10cm","Syncarpia DBH>10cm","Week","Tree Species Name","Tree Species DBH","area","Basal Area","Frequency","Density","Relative Basal Area","Relative Frequency","Relative Density","Relative Importance"
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","Angophora",NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","Araucaria",NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","Callitris",NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","Casuarina",NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","Lophostemon",NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","Melaleuca",NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","Syncarpia",NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","Unknown",NA,NA,0,0,0,0,0,0,0
"4/07/2014","01:00:00 AM",NA,NA,"green","10x10m","Low Open forest",1,18.9,0.8175,0.02,4.5,NA,NA,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,44,NA,NA,86,NA,NA,66,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/07/2014","01:00:00 AM",NA,NA,"green","10x10m","Low Open forest",2,18.9,0.8475,0.175,0.3,NA,NA,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,44,NA,NA,86,NA,NA,66,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/07/2014","01:00:00 AM",NA,NA,"Red 2","10x10m","Rainforest",1,36,0.76,1,0.65,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/07/2014","01:00:00 AM",NA,NA,"Red 2","10x10m","Rainforest",2,36,0.74,0.95,1,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/07/2014","01:00:00 AM",NA,NA,"Red 2","10x10m","Rainforest",3,36,0.65,1,3.5,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8/07/2014","01:00:00 AM",NA,NA,"Red 2","10x10m","Rainforest",4,36,0.675,0.95,2,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/07/2014","01:00:00 AM",NA,NA,"red","10x10m","Wallum Heath",1,40.3,0.84,0.73,1.15,NA,NA,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/07/2014","01:00:00 AM",NA,NA,"red","10x10m","Wallum Heath",2,40.3,0.83,0.375,2.25,NA,NA,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/07/2014","01:00:00 AM",NA,NA,"Yellow 2","10x10m","Rainforest",1,30,NA,0.01,6,NA,NA,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/07/2014","01:00:00 AM",NA,NA,"Yellow 2","10x10m","Rainforest",2,30,NA,0.01,6,NA,NA,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/07/2014","01:00:00 AM",NA,NA,"Yellow 2","10x10m","Rainforest",3,30,NA,0.01,6,NA,NA,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/07/2014","01:00:00 AM",NA,NA,"Yellow 2","10x10m","Rainforest",4,30,NA,0.01,6,NA,NA,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2/07/2014","00:00:00 AM",NA,NA,"yellow","10x10m","Foredunes",1,6.25,0.77,0.85,4,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,44,NA,33,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2/07/2014","00:00:00 AM",NA,NA,"yellow","10x10m","Foredunes",2,6.25,0.67,0.6,4,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,44,NA,33,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
